日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-01-21,40.14,0.05,141579040.0,8.77,83052640.0,5.15,58526400.0,3.63,-125489920.0,-7.78,-16089120.0,-1.0
2025-01-22,39.45,-1.72,-400451176.0,-17.21,-190994728.0,-8.21,-209456448.0,-9.0,104357424.0,4.48,296093760.0,12.72
2025-01-23,39.83,0.96,-134498736.0,-5.56,39523424.0,1.63,-174022160.0,-7.2,108857120.0,4.5,25641632.0,1.06
2025-01-24,40.26,1.08,28766864.0,1.24,25724080.0,1.11,3042784.0,0.13,74735552.0,3.23,-103502400.0,-4.48
2025-01-27,40.65,0.97,146198259.0,6.82,121530147.0,5.67,24668112.0,1.15,-237666368.0,-11.08,91468080.0,4.26
2025-02-05,40.0,-1.6,-10800243.0,-0.53,-17238803.0,-0.85,6438560.0,0.32,-66249616.0,-3.26,77049872.0,3.79
2025-02-06,40.2,0.5,70513866.0,3.78,2072586.0,0.11,68441280.0,3.67,47982400.0,2.57,-118496272.0,-6.35
2025-02-07,40.2,0.0,29858048.0,1.43,48096688.0,2.3,-18238640.0,-0.87,50099872.0,2.39,-79957920.0,-3.82
2025-02-10,40.6,1.0,201196720.0,8.53,123410016.0,5.23,77786704.0,3.3,-213700928.0,-9.06,12504224.0,0.53
2025-02-11,40.98,0.94,-92711520.0,-4.95,10033312.0,0.54,-102744832.0,-5.49,-34913312.0,-1.86,127624837.0,6.82
2025-02-12,41.62,1.56,48269280.0,1.94,113544496.0,4.57,-65275216.0,-2.63,-31475808.0,-1.27,-16793488.0,-0.68
2025-02-13,41.71,0.22,90508832.0,4.7,-654896.0,-0.03,91163728.0,4.73,-64219488.0,-3.33,-26289328.0,-1.36
2025-02-14,42.03,0.77,60242736.0,2.89,5438576.0,0.26,54804160.0,2.63,74086400.0,3.55,-134329152.0,-6.44
2025-02-17,41.72,-0.74,163313856.0,7.33,67269440.0,3.02,96044416.0,4.31,-207408432.0,-9.31,44094560.0,1.98
2025-02-18,42.05,0.79,-66225056.0,-2.88,55152816.0,2.4,-121377872.0,-5.27,-26488320.0,-1.15,92713376.0,4.03
2025-02-19,41.98,-0.17,80352416.0,5.11,-59381920.0,-3.78,139734336.0,8.89,-1679312.0,-0.11,-78673104.0,-5.0
2025-02-20,41.85,-0.31,-77233109.0,-4.53,-48790677.0,-2.86,-28442432.0,-1.67,-48605472.0,-2.85,125838586.0,7.38
2025-02-21,41.4,-1.08,-26072176.0,-1.06,-75322032.0,-3.05,49249856.0,2.0,-45865984.0,-1.86,71938176.0,2.92
2025-02-24,41.27,-0.31,-92592.0,-0.0,-49849888.0,-2.11,49757296.0,2.11,-192928304.0,-8.17,193020896.0,8.17
2025-02-25,41.03,-0.58,-290077968.0,-13.89,-58580416.0,-2.8,-231497552.0,-11.08,244617248.0,11.71,45460720.0,2.18
2025-02-26,41.48,1.1,-104317984.0,-5.28,-2921136.0,-0.15,-101396848.0,-5.14,-7339456.0,-0.37,111657440.0,5.66
2025-02-27,42.38,2.17,-15257072.0,-0.58,108986448.0,4.17,-124243520.0,-4.76,-15007408.0,-0.57,30264480.0,1.16
2025-02-28,42.05,-0.78,-221429216.0,-7.42,-63506096.0,-2.13,-157923120.0,-5.29,90018560.0,3.01,131410656.0,4.4
2025-03-03,42.05,0.0,204135452.0,10.29,51760220.0,2.61,152375232.0,7.68,-104244928.0,-5.26,-99890512.0,-5.04
2025-03-04,41.8,-0.59,19009320.0,1.43,37659784.0,2.83,-18650464.0,-1.4,-50244256.0,-3.78,31234952.0,2.35
2025-03-05,42.89,2.61,239051728.0,8.89,236489472.0,8.79,2562256.0,0.1,-313063824.0,-11.64,74012080.0,2.75
2025-03-06,42.96,0.16,34933936.0,1.43,92234480.0,3.76,-57300544.0,-2.34,50342480.0,2.05,-85276432.0,-3.48
2025-03-07,43.57,1.42,78594960.0,2.99,111329680.0,4.24,-32734720.0,-1.25,-173321040.0,-6.6,94726080.0,3.61
2025-03-10,43.07,-1.15,69875248.0,3.19,131212512.0,5.99,-61337264.0,-2.8,-355241168.0,-16.21,285365936.0,13.02
2025-03-11,43.51,1.02,197135984.0,8.06,222062448.0,9.07,-24926464.0,-1.02,-185431376.0,-7.58,-11704608.0,-0.48
2025-03-12,43.54,0.07,43197184.0,2.37,88933888.0,4.88,-45736704.0,-2.51,-66875344.0,-3.67,23678160.0,1.3
2025-03-13,43.84,0.69,-260124512.0,-10.1,-78279056.0,-3.04,-181845456.0,-7.06,103845952.0,4.03,156278576.0,6.07
2025-03-14,45.16,3.01,59005008.0,1.44,-259544832.0,-6.34,318549840.0,7.78,172200384.0,4.2,-231205376.0,-5.64
2025-03-17,45.04,-0.27,36911184.0,1.25,-255062336.0,-8.62,291973520.0,9.87,37239072.0,1.26,-74150272.0,-2.51
2025-03-18,45.14,0.22,-36338899.0,-1.88,68524557.0,3.54,-104863456.0,-5.42,-70778208.0,-3.66,107117121.0,5.54
2025-03-19,46.02,1.95,-93943632.0,-3.07,31387104.0,1.03,-125330736.0,-4.09,14926416.0,0.49,79017232.0,2.58
2025-03-20,45.24,-1.69,-18734752.0,-0.61,-93266304.0,-3.04,74531552.0,2.43,-8833008.0,-0.29,27567776.0,0.9
2025-03-21,44.7,-1.19,-377053920.0,-12.44,-163766992.0,-5.4,-213286928.0,-7.04,-2659344.0,-0.09,379713264.0,12.53
2025-03-24,45.05,0.78,-46010881.0,-2.28,-40628257.0,-2.01,-5382624.0,-0.27,-120397648.0,-5.97,166408544.0,8.25
2025-03-25,45.09,0.09,42359656.0,2.63,81847992.0,5.08,-39488336.0,-2.45,-54941456.0,-3.41,12581808.0,0.78
2025-03-26,42.66,-5.39,-766601632.0,-11.24,-514153696.0,-7.54,-252447936.0,-3.7,266321776.0,3.91,500279856.0,7.34
2025-03-27,43.26,1.41,-400886176.0,-11.19,-147806944.0,-4.12,-253079232.0,-7.06,216475808.0,6.04,184410384.0,5.15
