日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-01-08,26.98,-0.66,-56875792.0,-1.78,39086016.0,1.22,-95961808.0,-3.0,-102032720.0,-3.19,158908496.0,4.97
2025-01-09,26.89,-0.33,-72233042.0,-4.25,-57997634.0,-3.41,-14235408.0,-0.84,-45860480.0,-2.7,118093520.0,6.95
2025-01-10,26.46,-1.6,-140872720.0,-6.56,-44844128.0,-2.09,-96028592.0,-4.47,-71651136.0,-3.34,212523856.0,9.9
2025-01-13,26.51,0.19,14349648.0,0.82,46487120.0,2.66,-32137472.0,-1.84,-71143792.0,-4.08,56794128.0,3.25
2025-01-14,27.7,4.49,462432768.0,10.15,419438320.0,9.21,42994448.0,0.94,-188874912.0,-4.15,-273557824.0,-6.0
2025-01-15,27.37,-1.19,-131017664.0,-5.37,-193241696.0,-7.92,62224032.0,2.55,14224544.0,0.58,116793104.0,4.79
2025-01-16,27.25,-0.44,-45988224.0,-1.9,-68468896.0,-2.83,22480672.0,0.93,-49905488.0,-2.06,95893712.0,3.96
2025-01-17,27.31,0.22,24732512.0,1.35,14980736.0,0.82,9751776.0,0.53,-37217056.0,-2.03,12484528.0,0.68
2025-01-20,27.4,0.33,-103104016.0,-4.11,-74723264.0,-2.98,-28380752.0,-1.13,45797360.0,1.83,57306672.0,2.28
2025-01-21,27.42,0.07,-45827232.0,-2.29,-87241552.0,-4.36,41414320.0,2.07,-5764496.0,-0.29,51591744.0,2.58
2025-01-22,27.23,-0.69,-237745010.0,-12.47,-175066018.0,-9.18,-62678992.0,-3.29,-12042416.0,-0.63,249787424.0,13.1
2025-01-23,27.45,0.81,149955600.0,3.31,78076896.0,1.72,71878704.0,1.59,14621408.0,0.32,-164577008.0,-3.63
2025-01-24,27.54,0.33,114487536.0,4.28,122061872.0,4.57,-7574336.0,-0.28,-37423072.0,-1.4,-77064464.0,-2.88
2025-01-27,26.93,-2.21,-262466384.0,-10.88,-248161776.0,-10.28,-14304608.0,-0.59,17512528.0,0.73,244953840.0,10.15
2025-02-05,26.95,0.07,-60091056.0,-2.83,-41313040.0,-1.95,-18778016.0,-0.88,-127926304.0,-6.02,188017344.0,8.85
2025-02-06,27.37,1.56,149992672.0,5.28,95311472.0,3.35,54681200.0,1.92,-23112624.0,-0.81,-126880064.0,-4.46
2025-02-07,28.14,2.81,443392608.0,7.34,368735472.0,6.1,74657136.0,1.24,-136249200.0,-2.26,-307143408.0,-5.09
2025-02-10,28.15,0.04,-95495712.0,-3.12,-101602096.0,-3.32,6106384.0,0.2,13574784.0,0.44,81920912.0,2.68
2025-02-11,27.97,-0.64,-101923760.0,-4.1,-173083648.0,-6.96,71159888.0,2.86,-40555456.0,-1.63,142479200.0,5.73
2025-02-12,28.27,1.07,-170609248.0,-5.25,-240456832.0,-7.4,69847584.0,2.15,95804960.0,2.95,74804288.0,2.3
2025-02-13,28.12,-0.53,133370848.0,3.2,-32094192.0,-0.77,165465040.0,3.97,-6777568.0,-0.16,-126593280.0,-3.03
2025-02-14,28.24,0.43,-58330208.0,-2.1,-62990384.0,-2.27,4660176.0,0.17,59583008.0,2.14,-1252784.0,-0.05
2025-02-17,28.29,0.18,-90013232.0,-2.62,-82875952.0,-2.42,-7137280.0,-0.21,396016.0,0.01,89617216.0,2.61
2025-02-18,27.54,-2.65,-409344672.0,-13.17,-369596400.0,-11.89,-39748272.0,-1.28,121844032.0,3.92,287500624.0,9.25
2025-02-19,27.99,1.63,156292400.0,5.6,203873152.0,7.3,-47580752.0,-1.7,-80309824.0,-2.88,-75982560.0,-2.72
2025-02-20,27.89,-0.36,-19651600.0,-0.99,3168784.0,0.16,-22820384.0,-1.15,-98626736.0,-4.96,118278336.0,5.95
2025-02-21,28.46,2.04,362261584.0,6.92,232125936.0,4.44,130135648.0,2.49,-95988256.0,-1.83,-266273312.0,-5.09
2025-02-24,28.35,-0.39,-209107488.0,-6.14,-222990464.0,-6.55,13882976.0,0.41,31338688.0,0.92,177768800.0,5.22
2025-02-25,27.83,-1.83,-405690832.0,-13.96,-351462960.0,-12.09,-54227872.0,-1.87,139881104.0,4.81,265809728.0,9.15
2025-02-26,28.45,2.23,260193824.0,6.64,133330288.0,3.4,126863536.0,3.24,-98773760.0,-2.52,-161420064.0,-4.12
2025-02-27,28.24,-0.74,-255015456.0,-6.28,-321712800.0,-7.92,66697344.0,1.64,133550480.0,3.29,121464992.0,2.99
2025-02-28,27.33,-3.22,-552664672.0,-12.44,-501014384.0,-11.28,-51650288.0,-1.16,194949808.0,4.39,357714848.0,8.05
2025-03-03,27.36,0.11,-71902752.0,-2.45,-42351088.0,-1.44,-29551664.0,-1.01,-35652368.0,-1.22,107555088.0,3.67
2025-03-04,27.36,0.0,-5002496.0,-0.28,8260448.0,0.47,-13262944.0,-0.76,-94298512.0,-5.37,99301008.0,5.66
2025-03-05,27.34,-0.07,28359264.0,1.33,-18688256.0,-0.88,47047520.0,2.2,-112046608.0,-5.25,83687344.0,3.92
2025-03-06,28.0,2.41,343272528.0,7.87,400698496.0,9.19,-57425968.0,-1.32,-224382592.0,-5.15,-118889936.0,-2.73
2025-03-07,27.58,-1.5,-220287104.0,-8.3,-255260960.0,-9.62,34973856.0,1.32,41310112.0,1.56,178976976.0,6.75
2025-03-10,27.24,-1.23,-155990384.0,-6.33,-182443840.0,-7.4,26453456.0,1.07,-71713504.0,-2.91,227703904.0,9.24
2025-03-11,27.3,0.22,-26112256.0,-1.24,-98895184.0,-4.68,72782928.0,3.44,29972016.0,1.42,-3859776.0,-0.18
2025-03-12,27.3,0.0,124441616.0,4.65,30706400.0,1.15,93735216.0,3.5,-86922912.0,-3.25,-37518720.0,-1.4
2025-03-13,27.1,-0.73,-154140192.0,-6.59,-79243296.0,-3.39,-74896896.0,-3.2,13940528.0,0.6,140199664.0,5.99
2025-03-14,28.07,3.58,533658672.0,7.32,298394960.0,4.09,235263712.0,3.23,-105135408.0,-1.44,-428523280.0,-5.88
2025-03-17,27.86,-0.75,-302713328.0,-10.41,-243861216.0,-8.38,-58852112.0,-2.02,160967712.0,5.53,141745616.0,4.87
2025-03-18,27.95,0.32,-72203648.0,-3.78,-112529664.0,-5.88,40326016.0,2.11,105180688.0,5.5,-32977040.0,-1.72
2025-03-19,27.93,-0.07,-119727696.0,-6.32,-169619264.0,-8.96,49891568.0,2.64,45459600.0,2.4,74268112.0,3.92
2025-03-20,27.68,-0.9,-218287584.0,-12.28,-200523904.0,-11.28,-17763680.0,-1.0,59051456.0,3.32,159236128.0,8.96
2025-03-21,27.09,-2.13,-353552736.0,-13.25,-306001568.0,-11.47,-47551168.0,-1.78,60907568.0,2.28,292645168.0,10.97
2025-03-24,27.19,0.37,-88313488.0,-4.87,-4442032.0,-0.25,-83871456.0,-4.63,-14417472.0,-0.8,102730960.0,5.67
2025-03-25,27.02,-0.63,-109214512.0,-7.48,-94186880.0,-6.45,-15027632.0,-1.03,9979408.0,0.68,99235111.0,6.8
2025-03-26,26.98,-0.15,-28801344.0,-1.89,-28553184.0,-1.87,-248160.0,-0.02,-4286720.0,-0.28,33088080.0,2.17
2025-03-27,26.9,-0.3,-94549152.0,-4.84,-95248416.0,-4.88,699264.0,0.04,36017072.0,1.84,58532096.0,3.0
2025-03-28,26.8,-0.37,-87813552.0,-4.96,-72586784.0,-4.1,-15226768.0,-0.86,-33507296.0,-1.89,121320848.0,6.86
2025-03-31,26.52,-1.04,-283197600.0,-13.39,-214875440.0,-10.16,-68322160.0,-3.23,122545392.0,5.79,160652208.0,7.59
2025-04-01,26.44,-0.3,-1980521.0,-0.13,-93662041.0,-5.93,91681520.0,5.8,-19801872.0,-1.25,21782400.0,1.38
2025-04-02,26.54,0.38,19876795.0,1.64,54322475.0,4.48,-34445680.0,-2.84,-14486432.0,-1.2,-5390370.0,-0.45
2025-04-03,26.44,-0.38,23029040.0,1.56,11599936.0,0.78,11429104.0,0.77,-35923808.0,-2.43,12894770.0,0.87
2025-04-07,24.02,-9.15,-803556672.0,-14.51,-502130224.0,-9.07,-301426448.0,-5.44,507665920.0,9.17,295890752.0,5.34
2025-04-08,24.5,2.0,-356915568.0,-8.52,-176223680.0,-4.21,-180691888.0,-4.31,348841728.0,8.33,8073840.0,0.19
2025-04-09,24.89,1.59,261916416.0,7.46,238865824.0,6.8,23050592.0,0.66,-179352416.0,-5.11,-82564016.0,-2.35
2025-04-10,25.14,1.0,86037408.0,2.78,60163344.0,1.94,25874064.0,0.84,-145445440.0,-4.7,59408048.0,1.92
2025-04-11,25.36,0.88,8773952.0,0.37,21949552.0,0.93,-13175600.0,-0.56,-83398112.0,-3.54,74624144.0,3.17
2025-04-14,25.23,-0.51,-50238496.0,-3.12,-107583824.0,-6.69,57345328.0,3.57,-23976256.0,-1.49,74214768.0,4.62
2025-04-15,25.11,-0.48,-119594017.0,-8.48,-56735457.0,-4.03,-62858560.0,-4.46,41705376.0,2.96,77888659.0,5.53
2025-04-16,25.15,0.16,-141817600.0,-8.59,-129248048.0,-7.83,-12569552.0,-0.76,82145136.0,4.97,59672464.0,3.61
2025-04-17,25.17,0.08,140709426.0,11.62,130747090.0,10.8,9962336.0,0.82,-31840944.0,-2.63,-108868483.0,-8.99
2025-04-18,25.15,-0.08,-72667994.0,-6.07,-103211642.0,-8.62,30543648.0,2.55,85543984.0,7.15,-12875992.0,-1.08
2025-04-21,25.23,0.32,-30878988.0,-2.78,-22982572.0,-2.07,-7896416.0,-0.71,18485712.0,1.66,12393286.0,1.11
