日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,资产总计,负债合计,归属于母公司股东权益合计,资产负债率,权益乘数,营业收入,净利润,营业总成本,营业利润,利润总额,净利润增长率,营收增长率,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,大单净流入-净额,中单净流入-净额,小单净流入-净额,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-12-30,-0.5904872940911223,-0.6606198221604922,-0.6481371529209187,-0.538142752512515,-0.27688729191750716,-0.4047457949619407,-0.6828519568674066,-0.1502433133634566,-0.2781491816757941,-0.6315184886857744,-0.6376946456374336,-0.7670539583941343,-0.8440538074462457,-0.7665535109183098,0.2680463251651833,-0.18189688137509694,0.6394818123171191,0.1734025868621605,0.1482032256824775,0.10711845958507397,-1.1377807991016808,-0.3150997602668101,-0.1886274246417826,-0.9099081647546087,0.6830677908420388,-0.9400956305957061,-0.876072792093568,0.25447362615473484,0.24245206618970078,0.30048464811133035,0.23488873306371655,0.236408867419326,0.8654673340589834,0.9022403682488838,-0.12940114317121576,1.041160295610849,0.014491940321035077,-0.013241357352409538,-0.03896179777294446,-0.6740815000575432,0.9573671051777947,0.0132140179928283,0.07843440878436186,-0.013241360210508082,-1.432207457321533,-0.7936536381584652,-0.06299395829067837,-0.01324136007809444
2024-12-31,-0.6566156742759921,-0.6684196387418163,-0.6400075625680046,-0.5614206670109497,0.547321602369839,0.3937406355175856,-0.45657767141972216,-0.03475214898743889,0.5227924389138355,-0.6549857510082047,-0.64585325764474,-0.7582486565069172,-0.8423491889718685,-0.7945151986549764,-0.059385214821931404,0.7759818659606983,0.500599873765137,0.15696395343483946,0.15268238971980083,0.0462039342561397,-1.1343948220831825,-0.3030711564922624,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,0.603961797114377,0.7150188979823175,0.38350594022862183,0.579563193818457,-0.6033096604373378,-1.9144286380065734,0.6039617735099726,0.5585899293687279,1.249582317149856,0.1342634630134034,0.6039617674703548
2025-01-02,-0.667418443501059,-0.9492130356694842,-0.8003324646240373,-0.8884792583418002,1.165883887698679,0.9265566382001806,0.7250769303626297,-1.395759136583607,1.178108310305351,-0.7214921624482923,-0.6939181240356003,-0.7616308254437286,-0.8517674920526126,-0.8078110514292591,-1.703352713149249,-0.18806419694276688,0.01250674093643094,0.03693540002056965,0.13033538956339297,-0.24775580766636437,-1.1273175755154847,-0.3149750717072192,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-2.697072574543825,-2.2409584233620756,-1.726071440394357,-2.568481743647135,2.697790543136781,-1.6028050210393197,-2.697072509970139,-0.4117925188278731,-0.7936536626450005,-0.7536841181556311,-2.6970724829994133
2025-01-03,-0.8950482236006707,-1.0506106512266977,-1.0309314217499743,-0.9896097296911872,0.15758390390409868,-0.043866243264229686,-0.14649809506548808,-0.501383116163268,0.15872806591854938,-0.8050843876845347,-0.7359446501167095,-0.7666790874528614,-0.8649954458177045,-0.8303439053202946,-1.7094446170301245,-1.1719403469620349,-0.24312782647301295,-0.09553755190058756,0.08383903627228728,-0.5123831902397583,-1.111771071120159,-0.33707513134168954,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-1.2478022363067847,-1.6428359279661169,-0.6998580149568338,-1.3321578110107333,1.2477759991575164,0.2606461865144265,-1.2478022428612692,-0.3896673606509962,-0.793653635584384,-1.3613839182646608,-1.2478022303832468
2025-01-06,-1.2152731684865652,-1.3236042315730416,-1.2836522449323988,-1.2559433266782953,0.8313097766458714,0.5249716320161514,-0.029170687796318297,-1.356873222652288,0.8140439373100644,-0.9459671359184512,-0.8020519806106833,-0.7904750617582881,-0.8775627169190657,-0.8528751624954948,-1.737634987233276,-1.8685025195140919,-0.5916411967383538,-0.30067050220272884,0.0023261202125150703,-0.896092902897663,-1.0314677179411762,-0.44735288315154453,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-1.1799148070939227,-1.123308593435106,-0.6067215589187366,-1.3399192603990533,1.1798239551070042,0.43124783741453776,-1.1799147796542997,-0.3790199247378973,-0.7936536618452339,-1.8852153554198752,-1.179914767855152
2025-01-07,-1.279626808013031,-1.3220442682567763,-1.3678404065678678,-1.2076747414307045,-0.329559246705696,-0.5345030534239331,-0.9677899459496759,0.011910947730144018,-0.35096205627485144,-1.0802467475879602,-0.8715856056729401,-0.8132672149876394,-0.8874271953051868,-0.8748954706028694,-1.7784986599698254,-1.7516798829965319,-0.6119702728573372,-0.45732146137534313,-0.09672625411440529,-1.0882893939217595,-0.9769402501038642,-0.5335142650339195,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.2282845406391621,-0.4639085149918996,0.28739307831634014,-0.8491180922856849,0.22803584341752212,0.729727481008742,-0.22828454877965826,-0.08927102412309335,-0.7936536234248087,-1.9742500924479993,-0.2282845464968127
2025-01-08,-1.3155845970050382,-1.3041046901197313,-1.3683875905339307,-1.303744796584779,0.30997910862680117,0.04212869919527516,-0.2554449732440027,0.0935713669859141,0.304353815116664,-1.2093008555014617,-0.9492375333946402,-0.8466765463203586,-0.8996169334558521,-0.8889258126621505,-1.6793061899470387,-1.6332178861012403,-0.5186898821146877,-0.5680535979364776,-0.19989013642471742,-1.133343089149368,-0.9505165732856997,-0.613295522296752,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.15059327039819898,-0.1548563570144777,-0.10816315965533296,-0.1262369927546797,0.15039085460601728,0.5886078543002786,-0.1505932898694636,-0.3828555967167353,-0.7936535789059017,-2.2866599487575114,-0.15059328836353061
2025-01-09,-1.246215386052648,-1.2924049652477452,-1.2686437704347118,-1.2545419806549776,-0.011731224688957102,-0.24157137981140833,0.11329830674481627,0.062462635840858836,0.013102316720434746,-1.2789742389148875,-1.018569611717589,-0.8748835020347543,-0.9142520554917365,-0.8976470745635701,-1.615699198247393,-1.7426106266561239,-0.41074550546479344,-0.6438900816231238,-0.29880455355371566,-1.0867776659682333,-0.9310560121455663,-0.6781770454445354,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,0.4820079898108682,0.7350007185412026,0.9686022328572405,-0.5029638801154226,-0.48222336521118525,0.5299482773281591,0.48200798841188064,1.0373726844385192,1.2495822676303898,-0.970419252886029,0.48200798359180075
2025-01-10,-1.2607991245064882,-1.354803497898338,-1.3673713917398154,-1.23103050848599,-0.4656719219504215,-0.6587938220095627,-0.8001793641365762,-0.30695354650667256,-0.4965878054729658,-1.3407301923949662,-1.0925695125229777,-0.9190016465898169,-0.9308749457150249,-0.9031908719494568,-1.5357827214965567,-2.2864165359847526,-0.6241188091361753,-0.7193400637842718,-0.39423590080022947,-1.048610363466134,-0.9420752223022661,-0.7436146053220999,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.04159264775522132,-0.15219211427329302,0.28898870802013715,-0.49953803311523337,0.04141691942325912,0.4977030314614949,-0.04159263584749073,0.0919113444716983,-0.793653723396084,-0.47101001385898417,-0.04159263543156435
2025-01-13,-1.4313285529878914,-1.2925609615793716,-1.4260764143844182,-1.3399462355204725,-0.5113904833672323,-0.704081916651722,-0.41467502596644723,0.31444335811580654,-0.4965878054729658,-1.3344279181680259,-1.1610873420191097,-0.9403026465194421,-0.9474291935836402,-0.9148692515809108,-0.9660222226969519,-1.9115023274554248,-0.49479706113509403,-0.7468352191872341,-0.4765208859847686,-0.9045531970725502,-0.931220070793615,-0.7892718534191492,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,-0.40181652008714214,-0.9381437229227713,-0.9064875978824763,0.5636024849412665,0.40197579549427953,-0.3851261871035285,-0.40181652791401395,-0.6899191667382312,-0.7936536288365179,-0.14885252685975203,-0.4018165238958486
2025-01-14,-1.277389091530696,-1.070110192680008,-1.1584252858423139,-1.1843189743754188,0.060757901207659185,-0.1538990985904792,0.4066168249177406,1.1131600302651006,0.08591519131949206,-1.2832813207986273,-1.2034121572743977,-0.9531398936416755,-0.9556147943783838,-0.9200458043243005,1.3591004333835264,-0.9478107066952655,-0.48515725653374403,-0.6763009478802852,-0.5271110246619873,-0.5572426821483739,-0.9382852367068002,-0.8049576205178466,1.443395586226358,1.210561747829962,0.1162865981241914,1.0435104260792425,0.9782565945133013,1.3115661458076864,1.3186179242504283,1.2847615991895969,1.322508869993792,1.3217474447610131,0.0,0.0,1.4232807393971645,-0.2658303071533347,-1.244742766591452,0.8075214434229684,1.1719365280954888,0.43935659334595273,0.881873329472328,-0.8074124671126404,-0.42601152735527414,0.8075214252576493,0.523835380454854,1.2495822951635691,0.280004174550793,0.807521417182435
