datetime,open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower
2025-03-11 14:15:00,5.32,5.33,5.33,5.32,0.0,0.0,8989,4785928.0,0.19,0.0,5.324,5.319999999999999,5.32,5.323666666666667,,100.0,57.142857142856776,50.0,4.292206894085382e-05,-0.0015379866489983525,0.0015809087179392064,5.3345095250022,5.305490474997801
2025-03-11 14:20:00,5.32,5.32,5.33,5.32,-0.19,-0.01,11417,6077466.0,0.19,0.0,5.3260000000000005,5.319999999999999,5.3205,5.3229999999999995,,66.66666666666765,57.1428571428575,46.66666666666678,-0.00014602458906409765,-0.0012595942370115017,0.001113569647947404,5.3342266548230635,5.3067733451769366
2025-03-11 14:25:00,5.32,5.32,5.33,5.32,0.0,0.0,12330,6563200.0,0.19,0.0,5.3260000000000005,5.319999999999999,5.320500000000001,5.322666666666667,,66.66666666666765,40.000000000000355,50.0,-0.0002923956220985957,-0.0010661545140289205,0.0007737588919303248,5.334226654823064,5.306773345176937
2025-03-11 14:30:00,5.33,5.33,5.33,5.32,0.19,0.01,24772,13187095.0,0.19,0.01,5.326,5.321,5.321,5.322333333333334,,66.66666666666666,59.999999999999645,50.0,0.0003939791596794251,-0.0007741277792872514,0.0011681069389666765,5.335363696929191,5.306636303070809
2025-03-11 14:35:00,5.33,5.32,5.33,5.32,-0.19,-0.01,32225,17157183.0,0.19,0.01,5.324,5.322000000000001,5.321,5.322,,33.33333333333333,50.0,50.0,0.0001295265908769494,-0.0005933969052544113,0.0007229234961313607,5.335363696929191,5.306636303070809
2025-03-11 14:40:00,5.32,5.32,5.33,5.32,0.0,0.0,43895,23380742.0,0.19,0.01,5.322,5.323,5.320500000000001,5.321333333333333,,33.33333333333333,50.0,53.84615384615406,-7.914167916389658e-05,-0.0004905458600363083,0.00041140418087241175,5.334226654823064,5.306773345176937
2025-03-11 14:45:00,5.33,5.32,5.34,5.32,0.0,0.0,53718,28610989.0,0.38,0.01,5.322,5.324,5.3205,5.321000000000001,,33.33333333333333,60.00000000000071,50.0,-0.00024172631604368888,-0.00044078195123778446,0.00019905563519409557,5.3342266548230635,5.3067733451769366
2025-03-11 14:50:00,5.33,5.33,5.34,5.32,0.19,0.01,98073,52293274.0,0.38,0.02,5.324,5.325,5.321,5.321,,66.66666666666666,66.66666666666717,53.84615384615374,0.00043136807176935577,-0.00026635194663635645,0.0006977200184057123,5.335363696929191,5.306636303070809
2025-03-11 14:55:00,5.33,5.35,5.35,5.33,0.38,0.02,98798,52727937.0,0.38,0.02,5.328,5.327,5.3225,5.322,,80.0,75.00000000000028,59.99999999999976,0.002549246944593797,0.00029676783160967427,0.002252479112984123,5.341830913339164,5.303169086660835
2025-03-11 15:00:00,5.34,5.35,5.35,5.33,0.0,0.0,113189,60527505.0,0.37,0.03,5.3340000000000005,5.329,5.3245,5.322666666666667,,75.0,71.42857142857143,57.14285714285696,0.004179502506555188,0.0010733147665987772,0.003106187739956411,5.34648085291195,5.3025191470880495
2025-03-12 09:35:00,5.34,5.33,5.35,5.33,-0.37,-0.02,102569,54757469.0,0.37,0.02,5.336,5.329000000000001,5.3245,5.3229999999999995,,60.0,50.0,53.33333333333326,0.003813697006592953,0.0016213912145976125,0.0021923057919953407,5.34648085291195,5.3025191470880495
2025-03-12 09:40:00,5.33,5.34,5.34,5.33,0.19,0.01,46949,25033250.0,0.19,0.01,5.34,5.331,5.3255,5.324,,66.66666666666666,55.55555555555556,56.249999999999865,0.004281357119082507,0.0021533843954945914,0.002127972723587916,5.348418620331397,5.302581379668603
2025-03-12 09:45:00,5.33,5.33,5.34,5.33,-0.19,-0.01,33697,17969190.0,0.19,0.01,5.34,5.332,5.326,5.324333333333334,,57.142857142857146,50.0,52.941176470588175,0.0038012462998757712,0.0024829567763708276,0.0013182895235049437,5.348849622823098,5.303150377176901
2025-03-12 09:50:00,5.33,5.32,5.34,5.32,-0.19,-0.01,67493,35945797.0,0.38,0.02,5.3340000000000005,5.3309999999999995,5.3260000000000005,5.324333333333334,,42.857142857142854,50.0,52.94117647058845,0.002584051255769104,0.002503175672250483,8.087558351862123e-05,5.348849622823099,5.303150377176902
2025-03-12 09:55:00,5.33,5.33,5.33,5.32,0.19,0.01,65774,35029999.0,0.19,0.02,5.33,5.332,5.327,5.324666666666666,,33.33333333333333,54.54545454545455,50.0,0.0023986813351069003,0.002482276804821767,-8.35954697148665e-05,5.348618705350983,5.305381294649017
2025-03-12 10:00:00,5.33,5.33,5.34,5.33,0.0,0.0,20895,11146159.0,0.19,0.01,5.33,5.333,5.328,5.324666666666667,,33.33333333333333,50.0,53.33333333333329,0.0022261130914538185,0.0024310440621481775,-0.00020493097069435896,5.348104987598001,5.307895012402
2025-03-12 10:05:00,5.34,5.34,5.34,5.33,0.19,0.01,17168,9154151.0,0.19,0.0,5.33,5.334999999999999,5.3295,5.325333333333334,,60.0,60.0,56.24999999999993,0.0028632620391162433,0.0025174876575417907,0.00034577438157445267,5.348390264827766,5.310609735172235
2025-03-12 10:10:00,5.33,5.34,5.34,5.33,0.0,0.0,13620,7263687.0,0.19,0.0,5.332,5.336,5.3305,5.326,,50.0,60.0,56.24999999999993,0.003329823043249469,0.0026799547346833263,0.0006498683085661427,5.3493902648277665,5.311609735172233
2025-03-12 10:15:00,5.33,5.34,5.34,5.33,0.0,0.0,11262,6006238.0,0.19,0.0,5.336,5.334999999999999,5.331,5.326666666666667,,66.66666666666666,60.0,60.000000000000234,0.0036574155901538674,0.0028754469057774346,0.0007819686843764328,5.35035812083094,5.311641879169061
2025-03-12 10:20:00,5.34,5.34,5.34,5.33,0.0,0.0,15752,8401311.0,0.19,0.0,5.338,5.3340000000000005,5.3315,5.3276666666666666,,100.0,55.55555555555556,60.000000000000234,0.0038723964677558342,0.003074836818173115,0.0007975596495827194,5.351261738683362,5.311738261316639
2025-03-12 10:25:00,5.33,5.33,5.34,5.33,-0.19,-0.01,21661,11554209.0,0.19,0.01,5.337999999999999,5.334,5.3315,5.327666666666667,,50.0,37.5,56.25000000000024,0.0031989781072701007,0.0030996650759925123,9.931303127758834e-05,5.351261738683362,5.311738261316639
