datetime,open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率
2025-03-14 11:30:00,5.66,5.67,5.67,5.66,0.18,0.01,18569,10525473.0,0.18,0.0
2025-03-14 13:05:00,5.67,5.67,5.67,5.66,0.0,0.0,64148,36361126.0,0.18,0.01
2025-03-14 13:10:00,5.67,5.65,5.67,5.65,-0.35,-0.02,29753,16844799.0,0.35,0.01
2025-03-14 13:15:00,5.65,5.65,5.65,5.64,0.0,0.0,23620,13341251.0,0.18,0.0
2025-03-14 13:20:00,5.64,5.65,5.65,5.64,0.0,0.0,14825,8371782.0,0.18,0.0
2025-03-14 13:25:00,5.65,5.65,5.65,5.64,0.0,0.0,13145,7417991.0,0.18,0.0
2025-03-14 13:30:00,5.64,5.64,5.65,5.63,-0.18,-0.01,42753,24116849.0,0.35,0.01
2025-03-14 13:35:00,5.64,5.65,5.65,5.64,0.18,0.01,12528,7072710.0,0.18,0.0
2025-03-14 13:40:00,5.65,5.65,5.66,5.64,0.0,0.0,20438,11549136.0,0.35,0.0
2025-03-14 13:45:00,5.65,5.65,5.65,5.64,0.0,0.0,6106,3447564.0,0.18,0.0
2025-03-14 13:50:00,5.65,5.64,5.65,5.64,-0.18,-0.01,9082,5128914.0,0.18,0.0
2025-03-14 13:55:00,5.65,5.65,5.66,5.64,0.18,0.01,23354,13191783.0,0.35,0.0
2025-03-14 14:00:00,5.64,5.65,5.65,5.64,0.0,0.0,27567,15558864.0,0.18,0.01
2025-03-14 14:05:00,5.65,5.64,5.65,5.64,-0.18,-0.01,18404,10387574.0,0.18,0.0
2025-03-14 14:10:00,5.65,5.64,5.65,5.64,0.0,0.0,8058,4549317.0,0.18,0.0
2025-03-14 14:15:00,5.64,5.64,5.65,5.64,0.0,0.0,13053,7368061.0,0.18,0.0
2025-03-14 14:20:00,5.65,5.65,5.65,5.64,0.18,0.01,11578,6538155.0,0.18,0.0
2025-03-14 14:25:00,5.64,5.65,5.65,5.64,0.0,0.0,17892,10096333.0,0.18,0.0
2025-03-14 14:30:00,5.64,5.65,5.65,5.64,0.0,0.0,27584,15581488.0,0.18,0.01
2025-03-14 14:35:00,5.65,5.65,5.66,5.64,0.0,0.0,24075,13598493.0,0.35,0.0
2025-03-14 14:40:00,5.65,5.65,5.65,5.64,0.0,0.0,40045,22592591.0,0.18,0.01
2025-03-14 14:45:00,5.64,5.64,5.65,5.64,-0.18,-0.01,16351,9227601.0,0.18,0.0
2025-03-14 14:50:00,5.65,5.65,5.66,5.64,0.18,0.01,35503,20052811.0,0.35,0.01
2025-03-14 14:55:00,5.65,5.65,5.66,5.64,0.0,0.0,39068,22076085.0,0.35,0.01
2025-03-14 15:00:00,5.66,5.66,5.66,5.64,0.18,0.01,35458,20041218.0,0.35,0.01
2025-03-17 09:35:00,5.69,5.66,5.69,5.65,0.0,0.0,81996,46539146.0,0.71,0.02
2025-03-17 09:40:00,5.67,5.66,5.68,5.66,0.0,0.0,32146,18224046.0,0.35,0.01
2025-03-17 09:45:00,5.66,5.69,5.69,5.66,0.53,0.03,52536,29827587.0,0.53,0.01
2025-03-17 09:50:00,5.68,5.68,5.69,5.67,-0.18,-0.01,26032,14781088.0,0.35,0.01
2025-03-17 09:55:00,5.67,5.66,5.67,5.66,-0.35,-0.02,22746,12892798.0,0.18,0.0
2025-03-17 10:00:00,5.67,5.66,5.67,5.65,0.0,0.0,36168,20474692.0,0.35,0.01
2025-03-17 10:05:00,5.65,5.66,5.66,5.65,0.0,0.0,13393,7576655.0,0.18,0.0
2025-03-17 10:10:00,5.66,5.64,5.66,5.64,-0.35,-0.02,35063,19805030.0,0.35,0.01
2025-03-17 10:15:00,5.64,5.63,5.65,5.63,-0.18,-0.01,39508,22280599.0,0.35,0.01
2025-03-17 10:20:00,5.63,5.62,5.64,5.62,-0.18,-0.01,56524,31798933.0,0.36,0.01
2025-03-17 10:25:00,5.62,5.62,5.63,5.61,0.0,0.0,48019,26984677.0,0.36,0.01
2025-03-17 10:30:00,5.63,5.62,5.63,5.62,0.0,0.0,8354,4699959.0,0.18,0.0
2025-03-17 10:35:00,5.62,5.63,5.63,5.62,0.18,0.01,11530,6486585.0,0.18,0.0
2025-03-17 10:40:00,5.62,5.63,5.63,5.62,0.0,0.0,23878,13425677.0,0.18,0.0
2025-03-17 10:45:00,5.63,5.63,5.63,5.62,0.0,0.0,10140,5701939.0,0.18,0.0
2025-03-17 10:50:00,5.63,5.62,5.63,5.62,-0.18,-0.01,10806,6077409.0,0.18,0.0
2025-03-17 10:55:00,5.62,5.63,5.63,5.61,0.18,0.01,63155,35483914.0,0.36,0.01
2025-03-17 11:00:00,5.63,5.62,5.63,5.62,-0.18,-0.01,20391,11471292.0,0.18,0.0
2025-03-17 11:05:00,5.63,5.63,5.63,5.62,0.18,0.01,7094,3991493.0,0.18,0.0
2025-03-17 11:10:00,5.62,5.62,5.63,5.62,-0.18,-0.01,41668,23420117.0,0.18,0.01
2025-03-17 11:15:00,5.62,5.62,5.62,5.61,0.0,0.0,7657,4299266.0,0.18,0.0
2025-03-17 11:20:00,5.62,5.62,5.62,5.61,0.0,0.0,6563,3684864.0,0.18,0.0
2025-03-17 11:25:00,5.62,5.62,5.62,5.61,0.0,0.0,3463,1945272.0,0.18,0.0
2025-03-17 11:30:00,5.62,5.61,5.62,5.61,-0.18,-0.01,8947,5023440.0,0.18,0.0
2025-03-17 13:05:00,5.61,5.61,5.62,5.61,0.0,0.0,9655,5420690.0,0.18,0.0
2025-03-17 13:10:00,5.61,5.62,5.62,5.61,0.18,0.01,5709,3204818.0,0.18,0.0
2025-03-17 13:15:00,5.62,5.6,5.62,5.6,-0.36,-0.02,71802,40253161.0,0.36,0.01
2025-03-17 13:20:00,5.61,5.61,5.61,5.6,0.18,0.01,4812,2697944.0,0.18,0.0
2025-03-17 13:25:00,5.61,5.61,5.62,5.6,0.0,0.0,13237,7427343.0,0.36,0.0
2025-03-17 13:30:00,5.61,5.61,5.62,5.6,0.0,0.0,5576,3128327.0,0.36,0.0
2025-03-17 13:35:00,5.61,5.62,5.62,5.6,0.18,0.01,9075,5091250.0,0.36,0.0
2025-03-17 13:40:00,5.61,5.61,5.62,5.61,-0.18,-0.01,2659,1493089.0,0.18,0.0
2025-03-17 13:45:00,5.61,5.61,5.62,5.61,0.0,0.0,4477,2513257.0,0.18,0.0
2025-03-17 13:50:00,5.62,5.62,5.62,5.61,0.18,0.01,8460,4750878.0,0.18,0.0
2025-03-17 13:55:00,5.61,5.61,5.62,5.61,-0.18,-0.01,7606,4269211.0,0.18,0.0
2025-03-17 14:00:00,5.61,5.6,5.62,5.6,-0.18,-0.01,21086,11827597.0,0.36,0.0
2025-03-17 14:05:00,5.61,5.61,5.61,5.6,0.18,0.01,5819,3263095.0,0.18,0.0
2025-03-17 14:10:00,5.61,5.61,5.62,5.6,0.0,0.0,17856,10015923.0,0.36,0.0
2025-03-17 14:15:00,5.61,5.61,5.61,5.6,0.0,0.0,3982,2233057.0,0.18,0.0
2025-03-17 14:20:00,5.61,5.6,5.61,5.6,-0.18,-0.01,7166,4017611.0,0.18,0.0
2025-03-17 14:25:00,5.61,5.6,5.61,5.6,0.0,0.0,9247,5180815.0,0.18,0.0
2025-03-17 14:30:00,5.6,5.6,5.61,5.6,0.0,0.0,7779,4358835.0,0.18,0.0
2025-03-17 14:35:00,5.6,5.6,5.61,5.59,0.0,0.0,88446,49504816.0,0.36,0.02
2025-03-17 14:40:00,5.6,5.59,5.6,5.59,-0.18,-0.01,15514,8678365.0,0.18,0.0
2025-03-17 14:45:00,5.59,5.59,5.6,5.59,0.0,0.0,41267,23072570.0,0.18,0.01
2025-03-17 14:50:00,5.59,5.59,5.6,5.59,0.0,0.0,26433,14782475.0,0.18,0.01
2025-03-17 14:55:00,5.59,5.6,5.6,5.59,0.18,0.01,35897,20074486.0,0.18,0.01
2025-03-17 15:00:00,5.6,5.59,5.6,5.58,-0.18,-0.01,49328,27575184.0,0.36,0.01
2025-03-18 09:35:00,5.6,5.59,5.61,5.58,0.0,0.0,73888,41302500.0,0.54,0.02
2025-03-18 09:40:00,5.59,5.57,5.59,5.56,-0.36,-0.02,45925,25609035.0,0.54,0.01
2025-03-18 09:45:00,5.57,5.58,5.58,5.56,0.18,0.01,30933,17228241.0,0.36,0.01
2025-03-18 09:50:00,5.57,5.58,5.59,5.57,0.0,0.0,31300,17461835.0,0.36,0.01
2025-03-18 09:55:00,5.58,5.58,5.58,5.57,0.0,0.0,15662,8732403.0,0.18,0.0
2025-03-18 10:00:00,5.58,5.58,5.58,5.57,0.0,0.0,13731,7652536.0,0.18,0.0
2025-03-18 10:05:00,5.57,5.58,5.58,5.57,0.0,0.0,11975,6677581.0,0.18,0.0
2025-03-18 10:10:00,5.57,5.57,5.58,5.57,-0.18,-0.01,9640,5372645.0,0.18,0.0
2025-03-18 10:15:00,5.57,5.57,5.58,5.56,0.0,0.0,33464,18639843.0,0.36,0.01
2025-03-18 10:20:00,5.58,5.57,5.58,5.57,0.0,0.0,6711,3741884.0,0.18,0.0
2025-03-18 10:25:00,5.58,5.57,5.58,5.57,0.0,0.0,9812,5468988.0,0.18,0.0
2025-03-18 10:30:00,5.58,5.57,5.58,5.57,0.0,0.0,10778,6007285.0,0.18,0.0
2025-03-18 10:35:00,5.57,5.57,5.58,5.57,0.0,0.0,6472,3608659.0,0.18,0.0
2025-03-18 10:40:00,5.58,5.57,5.58,5.57,0.0,0.0,7203,4013805.0,0.18,0.0
2025-03-18 10:45:00,5.57,5.56,5.58,5.56,-0.18,-0.01,21846,12164350.0,0.36,0.0
2025-03-18 10:50:00,5.57,5.57,5.57,5.56,0.18,0.01,9561,5321722.0,0.18,0.0
2025-03-18 10:55:00,5.57,5.57,5.58,5.56,0.0,0.0,15189,8461320.0,0.36,0.0
2025-03-18 11:00:00,5.57,5.57,5.58,5.57,0.0,0.0,5020,2797666.0,0.18,0.0
2025-03-18 11:05:00,5.57,5.58,5.58,5.57,0.18,0.01,4011,2235072.0,0.18,0.0
2025-03-18 11:10:00,5.57,5.57,5.58,5.57,-0.18,-0.01,6890,3840713.0,0.18,0.0
2025-03-18 11:15:00,5.57,5.58,5.58,5.57,0.18,0.01,21548,12004906.0,0.18,0.0
2025-03-18 11:20:00,5.57,5.57,5.58,5.57,-0.18,-0.01,26328,14670294.0,0.18,0.01
2025-03-18 11:25:00,5.57,5.57,5.58,5.57,0.0,0.0,6281,3499429.0,0.18,0.0
2025-03-18 11:30:00,5.57,5.57,5.58,5.57,0.0,0.0,13885,7733734.0,0.18,0.0
2025-03-18 13:05:00,5.57,5.57,5.58,5.56,0.0,0.0,20019,11148767.0,0.36,0.0
2025-03-18 13:10:00,5.56,5.57,5.57,5.56,0.0,0.0,21193,11797247.0,0.18,0.0
2025-03-18 13:15:00,5.56,5.57,5.57,5.56,0.0,0.0,9281,5166548.0,0.18,0.0
2025-03-18 13:20:00,5.57,5.57,5.57,5.56,0.0,0.0,7158,3983113.0,0.18,0.0
2025-03-18 13:25:00,5.56,5.57,5.57,5.56,0.0,0.0,8454,4705629.0,0.18,0.0
2025-03-18 13:30:00,5.57,5.56,5.57,5.56,-0.18,-0.01,9297,5173234.0,0.18,0.0
2025-03-18 13:35:00,5.57,5.56,5.57,5.56,0.0,0.0,9231,5137869.0,0.18,0.0
2025-03-18 13:40:00,5.56,5.57,5.57,5.56,0.18,0.01,12151,6759376.0,0.18,0.0
2025-03-18 13:45:00,5.57,5.57,5.57,5.56,0.0,0.0,9845,5477604.0,0.18,0.0
2025-03-18 13:50:00,5.57,5.57,5.57,5.56,0.0,0.0,6858,3815953.0,0.18,0.0
2025-03-18 13:55:00,5.56,5.56,5.57,5.55,-0.18,-0.01,44792,24903356.0,0.36,0.01
2025-03-18 14:00:00,5.55,5.55,5.56,5.55,-0.18,-0.01,9778,5430626.0,0.18,0.0
2025-03-18 14:05:00,5.56,5.56,5.56,5.55,0.18,0.01,7887,4382225.0,0.18,0.0
2025-03-18 14:10:00,5.55,5.56,5.56,5.55,0.0,0.0,7101,3944267.0,0.18,0.0
2025-03-18 14:15:00,5.56,5.55,5.56,5.55,-0.18,-0.01,9940,5521257.0,0.18,0.0
2025-03-18 14:20:00,5.56,5.56,5.56,5.55,0.18,0.01,9634,5355226.0,0.18,0.0
2025-03-18 14:25:00,5.56,5.56,5.57,5.56,0.0,0.0,17387,9669304.0,0.18,0.0
