序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
2643,688092,爱科科技,20.36,-1.93,-2672420.0,-17.48,0.0,0.0,-2672420.0,-17.48,2180628.0,14.26,491792.0,3.22
2644,301278,快可电子,31.76,0.57,-2674995.0,-5.71,-1776339.0,-3.79,-898656.0,-1.92,2995006.0,6.39,-320010.0,-0.68
2645,600075,新疆天业,4.25,0.47,-2679956.0,-7.63,-577437.0,-1.64,-2102519.0,-5.99,-519032.0,-1.48,3198989.0,9.11
2646,300635,中达安,9.35,-2.81,-2681051.0,-10.46,0.0,0.0,-2681051.0,-10.46,1003650.0,3.92,1677401.0,6.54
2647,301168,通灵股份,26.91,-1.03,-2682047.0,-9.68,-61579.0,-0.22,-2620468.0,-9.46,2949283.0,10.65,-267236.0,-0.96
2648,002811,郑中设计,8.85,-0.67,-2684176.0,-7.12,0.0,0.0,-2684176.0,-7.12,-1393060.0,-3.69,4077236.0,10.81
2649,688247,宣泰医药,10.15,0.3,-2685237.0,-7.14,-307930.0,-0.82,-2377307.0,-6.32,721262.0,1.92,1963975.0,5.22
2650,688079,美迪凯,8.33,-1.88,-2687263.0,-11.49,-272725.0,-1.17,-2414538.0,-10.32,-392572.0,-1.68,3079836.0,13.17
2651,002725,跃岭股份,10.79,-2.26,-2689775.0,-5.12,0.0,0.0,-2689775.0,-5.12,-3341372.0,-6.36,6031147.0,11.49
2652,301049,超越科技,20.94,-2.29,-2690049.0,-9.79,0.0,0.0,-2690049.0,-9.79,-108981.0,-0.4,2799030.0,10.19
2653,301539,宏鑫科技,17.52,-2.61,-2692222.0,-7.0,0.0,0.0,-2692222.0,-7.0,2911034.0,7.56,-218811.0,-0.57
2654,300406,九强生物,14.59,-0.95,-2692578.0,-3.89,1045705.0,1.51,-3738283.0,-5.39,11781047.0,17.0,-9088468.0,-13.11
2655,002107,沃华医药,4.69,0.64,-2700531.0,-9.71,0.0,0.0,-2700531.0,-9.71,-1678763.0,-6.04,4379294.0,15.74
2656,600328,中盐化工,7.16,-0.56,-2701267.0,-4.8,-3626241.0,-6.45,924974.0,1.65,2452132.0,4.36,249135.0,0.44
2657,600569,安阳钢铁,1.8,-0.55,-2702599.0,-12.84,-1703295.0,-8.09,-999304.0,-4.75,2841405.0,13.5,-138804.0,-0.66
2658,300003,乐普医疗,11.23,-0.18,-2703685.0,-2.04,1191153.0,0.9,-3894838.0,-2.93,-6364217.0,-4.8,9067903.0,6.83
2659,301589,诺瓦星云,138.79,-0.83,-2704479.0,-4.86,3143142.0,5.64,-5847621.0,-10.5,1288204.0,2.31,1416273.0,2.54
2660,300373,扬杰科技,46.43,-0.6,-2708768.0,-0.89,-10116092.0,-3.32,7407324.0,2.43,4680076.0,1.54,-1971308.0,-0.65
2661,600833,第一医药,12.19,-0.33,-2711499.0,-8.87,-1157607.0,-3.79,-1553892.0,-5.09,142118.0,0.47,2569381.0,8.41
2662,601021,春秋航空,53.2,0.36,-2713484.0,-1.32,633552.0,0.31,-3347036.0,-1.63,20848386.0,10.13,-18134902.0,-8.81
2663,603787,新日股份,10.16,-0.2,-2715270.0,-11.9,-680113.0,-2.98,-2035157.0,-8.92,703628.0,3.08,2011642.0,8.82
