日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower
2022-08-01,2352,47.59,46.64,47.59,46.42,197349,965629880.89,2.46,-2.0,-0.95,0.41,48.25,49.703,50.188,50.59433333333333,49.44500000000001,0.0,35.66502463054188,33.401325854156056,-0.6064487253327968,-0.10661655826525754,-0.4998321670675393,53.76228594267441,46.613714057325595
2022-08-02,2352,46.2,45.98,47.01,45.22,194714,941368046.54,3.84,-1.42,-0.66,0.4,47.474000000000004,49.076,49.777499999999996,50.46366666666666,49.420833333333334,0.0,36.602628918099064,33.53814644137225,-0.8173801059366781,-0.24876926779954164,-0.5686108381371364,53.30199399130381,46.25300600869618
2022-08-03,2352,45.85,45.93,46.59,45.61,169379,818429664.39,2.13,-0.11,-0.05,0.35,46.922000000000004,48.504,49.46,50.39933333333333,49.399166666666666,0.0,29.06846240179577,29.300054259359726,-0.9773134656014122,-0.3944781073599158,-0.5828353582414965,53.17425135900824,45.74574864099176
2022-08-04,2352,46.18,46.0,46.84,45.8,159237,770826732.25,2.26,0.15,0.07,0.33,46.428000000000004,48.028999999999996,49.207499999999996,50.351,49.367,2.4734982332155653,1.0954616588419412,28.91434806328425,-1.0858958588931458,-0.5327616576665618,-0.553134201226584,53.14644923204544,45.26855076795455
2022-08-05,2352,45.95,46.57,46.65,45.7,129653,627944904.55,2.07,1.24,0.57,0.27,46.224000000000004,47.611000000000004,48.9295,50.224333333333334,49.358666666666664,20.125786163522037,10.062893081761018,31.058201058201078,-1.1131225674961485,-0.6488338396324792,-0.46428872786366926,52.78388902250951,45.07511097749048
2022-08-08,2352,46.54,46.39,47.08,46.16,137914,671062860.9,1.98,-0.39,-0.18,0.28,46.174,47.212,48.73649999999999,50.040333333333336,49.342333333333336,25.806451612903203,11.347517730496463,29.054779806659525,-1.1361278512449786,-0.7462926419549791,-0.3898352092899995,52.69756989800001,44.77543010199997
2022-08-09,2352,46.33,46.72,46.9,46.0,126228,617213185.53,1.94,0.71,0.33,0.26,46.322,46.897999999999996,48.5985,49.826,49.35016666666666,52.15053763440856,16.247906197654927,33.68544600938968,-1.1148798216892715,-0.8200100779018377,-0.2948697437874338,52.64196008681723,44.555039913182775
2022-08-10,2352,46.67,45.78,46.79,45.51,180220,868029718.51,2.74,-2.01,-0.94,0.37,46.291999999999994,46.607,48.412,49.605000000000004,49.332,45.327102803738406,14.831804281345555,34.26865671641792,-1.1605130769183987,-0.88811067770515,-0.2724023992132487,52.619209851771345,44.20479014822865
2022-08-11,2352,45.79,47.24,47.41,45.78,174774,859165845.2,3.56,3.19,1.46,0.36,46.54,46.484,48.296499999999995,49.394333333333336,49.34983333333333,68.45070422535215,32.48663101604279,35.726795096322235,-1.0665731705945731,-0.9238031762830347,-0.14276999431153847,52.49899687685782,44.09400312314217
2022-08-12,2352,47.24,47.54,47.75,46.94,107277,533867225.17,1.71,0.64,0.3,0.22,46.734,46.479,48.242000000000004,49.188,49.395999999999994,70.3703703703704,41.301059001512854,41.28617363344051,-0.956887224949476,-0.9304199860163229,-0.02646723893315306,52.454545673655225,44.02945432634478
2022-08-15,2352,47.54,47.66,48.25,47.15,114857,574014307.34,2.31,0.25,0.12,0.24,46.988,46.581,48.142,48.98566666666667,49.3885,66.36636636636635,43.77880184331795,43.89261744966442,-0.8504735954560232,-0.9144307079042631,0.06395711244823987,52.307505466263784,43.97649453373622
2022-08-16,2352,47.55,47.4,48.13,47.27,93026,464032679.8,1.8,-0.55,-0.26,0.19,47.123999999999995,46.723,47.8995,48.75933333333333,49.38283333333334,64.80938416422288,48.38709677419351,43.02709847984137,-0.778149827671065,-0.8871745318576235,0.10902470418655852,51.59638617195888,44.20261382804112
2022-08-17,2352,47.42,48.34,48.46,47.01,166156,834333258.85,3.06,1.98,0.94,0.34,47.635999999999996,46.964000000000006,47.734,48.628,49.42383333333333,70.14925373134336,64.45578231292521,46.225826575171574,-0.6376323477521169,-0.8372660950365223,0.19963374728440542,50.99454822642478,44.47345177357522
2022-08-18,2352,48.16,47.47,48.33,47.25,103773,516850983.78,2.23,-1.8,-0.87,0.21,47.682,47.111000000000004,47.57000000000001,48.50866666666666,49.44716666666667,71.3924050632911,62.23316912972087,46.370463078848545,-0.5896755489808427,-0.7877479858253864,0.19807243684454368,50.505574901105355,44.63442509889466
2022-08-19,2352,47.74,47.63,48.4,47.5,94197,472312153.27,1.9,0.34,0.16,0.19,47.7,47.217,47.414,48.358666666666664,49.43999999999999,57.35849056603772,63.70967741935485,43.282594308405045,-0.5326190764508567,-0.7367222039504805,0.20410312749962378,49.94124439073984,44.88675560926016
2022-08-22,2352,47.37,48.43,48.74,47.25,129567,655469856.88,3.13,1.68,0.8,0.27,47.854,47.421,47.316500000000005,48.298,49.453,64.12698412698411,67.53246753246754,35.66066066066067,-0.4180293150504326,-0.6729836261704709,0.2549543111200383,49.487265327082326,45.14573467291768
2022-08-23,2352,48.26,47.48,48.34,47.37,97725,487328636.88,2.0,-1.96,-0.95,0.2,47.870000000000005,47.497,47.197500000000005,48.231333333333325,49.425333333333334,47.738693467336695,56.22435020519834,34.74762253108996,-0.3992706209042254,-0.6182410251172219,0.21897040421299652,49.013057040806125,45.381942959193886
2022-08-24,2352,47.49,46.85,47.84,46.69,88552,437784683.39,2.42,-1.33,-0.63,0.18,47.572,47.604,47.1055,48.14266666666666,49.38166666666667,43.67816091954027,52.9639175257732,35.44776119402985,-0.43027995602153624,-0.5806488112980848,0.15036885527654853,48.7839137247945,45.4270862752055
2022-08-25,2352,46.85,47.33,47.35,46.32,100533,493200105.3,2.2,1.02,0.48,0.21,47.544,47.613,47.0485,48.068666666666665,49.339333333333336,37.017994858611765,53.855878634639694,37.68011527377521,-0.41138094557473437,-0.5467952381534147,0.13541429257868032,48.60478809401683,45.49221190598316
2022-08-26,2352,47.64,47.12,48.13,46.97,75601,375537845.38,2.45,-0.44,-0.21,0.16,47.44199999999999,47.571000000000005,47.025,48.01833333333334,49.300666666666665,44.582043343653226,59.33147632311975,38.119533527696774,-0.4086380633662756,-0.5191638031959869,0.11052573982971126,48.56092077646555,45.489079223534446
2022-08-29,2352,46.64,45.93,46.82,45.75,133117,643338509.25,2.27,-2.53,-1.19,0.27,46.942,47.397999999999996,46.98950000000001,47.894,49.25083333333334,30.046948356807434,40.520984081041945,36.344683808200124,-0.4967610124808317,-0.5146832450529558,0.017922232572124108,48.59417048593182,45.384829514068194
2022-08-30,2352,45.96,46.87,46.87,45.84,125325,609707953.9,2.24,2.05,0.94,0.26,46.82000000000001,47.345,47.034000000000006,47.714666666666666,49.190333333333335,32.27272727272721,45.56291390728475,43.57344632768361,-0.48515635993547335,-0.5087778680294593,0.023621508093986,48.568630420106224,45.49936957989379
2022-08-31,2352,47.26,47.18,47.55,46.53,179594,885571331.0,2.18,0.66,0.31,0.37,46.885999999999996,47.229,47.0965,47.565666666666665,49.12716666666666,46.01063829787237,46.899224806201566,45.47368421052632,-0.4458062035545183,-0.49618353513447117,0.05037733157995289,48.5409853390521,45.6520146609479
2022-09-01,2352,47.05,46.61,47.95,46.48,159082,788598929.15,3.12,-1.21,-0.57,0.33,46.742000000000004,47.143,47.126999999999995,47.42766666666667,49.081,46.75675675675673,45.09316770186336,46.484935437589655,-0.45536598184801846,-0.4880200244771807,0.03265404262916222,48.497886766409025,45.756113233590966
2022-09-02,2352,46.81,46.2,47.26,45.85,116672,567145451.2,3.03,-0.88,-0.41,0.24,46.558,47.0,47.10850000000001,47.275999999999996,49.01483333333333,34.43526170798903,35.771276595744666,48.35820895522388,-0.49037303342443295,-0.48849062626663114,-0.001882407157801802,48.52040837633238,45.696591623667636
2022-09-05,2352,45.93,45.49,46.35,45.25,114307,545762390.1,2.38,-1.54,-0.71,0.24,46.47,46.706,47.0635,47.11300000000001,48.9535,30.2663438256659,36.54891304347827,48.17843866171005,-0.5688500905464124,-0.5045625191225874,-0.06428757142382502,48.6216267430373,45.5053732569627
2022-09-06,2352,45.53,45.14,45.93,44.33,167024,787915973.23,3.52,-0.77,-0.35,0.34,46.124,46.471999999999994,46.984500000000004,46.95566666666666,48.89833333333333,37.99392097264439,33.509933774834394,47.12727272727273,-0.6517725701656758,-0.5340045293312051,-0.11776804083447068,48.76088870805488,45.20811129194513
2022-09-07,2352,45.09,44.75,46.35,44.66,229534,1088010647.89,3.74,-0.86,-0.39,0.47,45.638,46.262,46.93300000000001,46.824333333333335,48.8225,11.313868613138752,24.229691876750678,45.55792466240227,-0.7404238283270246,-0.5752883891303691,-0.16513543919665552,48.90533604481686,44.96066395518315
2022-09-08,2352,44.96,45.79,46.43,44.77,205153,983729143.61,3.71,2.32,1.04,0.42,45.474000000000004,46.108,46.8605,46.735,48.755833333333335,29.97118155619596,38.312586445366534,47.31774415405776,-0.718479100922643,-0.6039265314888239,-0.11455256943381908,48.89106098030481,44.829939019695196
2022-09-09,2352,46.25,48.13,48.26,45.88,331746,1655967000.47,5.2,5.11,2.34,0.68,45.86,46.209,46.89,46.753,48.7305,64.50381679389315,57.15883668903804,55.20958083832336,-0.506431475737763,-0.5844275203386118,0.07799604460084875,48.978444397152956,44.801555602847046
2022-09-13,2352,48.26,49.14,49.91,48.26,294081,1520859903.33,3.43,2.1,1.01,0.61,46.589999999999996,46.53,46.964,46.836333333333336,48.71533333333333,75.1712328767123,59.55649419218586,56.96202531645571,-0.2539561970232498,-0.5183332556755395,0.26437705865228966,49.261718777167246,44.66628122283275
2022-09-14,2352,48.6,48.75,49.28,48.03,174308,888641048.29,2.54,-0.79,-0.39,0.36,47.312,46.718,47.0315,46.92866666666667,48.69616666666666,79.52898550724635,58.445595854922296,58.823529411764696,-0.0843649536198754,-0.43153959526440666,0.34717464164453127,49.45881192018956,44.60418807981044
