日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-12-20,5.14,0.59,-15321751.0,-1.74,25629277.0,2.91,-40951028.0,-4.65,-20419100.0,-2.32,35740853.0,4.06,-15321749.0,0.6727382102395312,-2.0000002610666705,-13825178.2,0.006696795302757335
2024-12-23,5.24,1.95,62763984.0,4.51,10208176.0,0.73,52555808.0,3.78,-10438464.0,-0.75,-52325520.0,-3.76,62763984.0,1.1626438500143463,1.9999999999999682,-17507935.6,1.0380906532285104
2024-12-24,5.31,1.34,-39663773.0,-3.48,-123553292.0,-10.85,83889519.0,7.36,18883516.0,1.66,20780249.0,1.82,-39663781.0,-4.115015283086499,-1.9999995966092592,-15732234.4,-0.31482445230123374
2024-12-25,5.39,1.51,-74412797.0,-5.08,-140545101.0,-9.6,66132304.0,4.52,39975648.0,2.73,34437136.0,2.35,-74412810.0,-2.8887216864945313,-1.9999996505977669,-30316531.6,-0.7738063136802371
2024-12-26,5.38,-0.19,58664928.0,4.54,71416880.0,5.52,-12751952.0,-0.99,-26691312.0,-2.06,-31973616.0,-2.47,58664928.0,2.2173692602162194,1.999999999999966,-1593885.6,0.9839483532299472
2024-12-27,5.36,-0.37,-99315139.0,-8.65,-43343843.0,-3.77,-55971296.0,-4.87,11235472.0,0.98,88079678.0,7.67,-99315128.0,-1.4364275098150059,-2.0000002215170887,-18392561.4,-1.1027280878193608
2024-12-30,5.41,0.93,70611906.0,6.44,116993115.0,10.66,-46381209.0,-4.23,-73017421.0,-6.66,2405508.0,0.22,70611899.0,2.6568471271392564,2.000000198266839,-16822978.4,1.1417496830864153
2024-12-31,5.39,-0.37,16960864.0,1.25,27014128.0,2.0,-10053264.0,-0.74,-36848592.0,-2.73,19887712.0,1.47,16960848.0,2.5927354575665915,2.000001886698,-5498052.6,0.4331008384548187
2025-01-02,5.25,-2.6,-106974807.0,-7.36,-101637559.0,-6.99,-5337248.0,-0.37,9721280.0,0.67,97253536.0,6.69,-106974798.0,-1.9501075945008848,-2.000000168263912,-12010450.2,-1.2039006873227573
2025-01-03,5.23,-0.38,-13784830.0,-1.12,16805810.0,1.37,-30590640.0,-2.49,-11169552.0,-0.91,24954368.0,2.03,-13784844.0,0.2191522805771165,-1.9999979687835423,-26500404.6,0.02699697455849128
2025-01-06,5.27,0.76,49541685.0,4.07,39233093.0,3.22,10308592.0,0.85,-38888672.0,-3.19,-10653040.0,-0.88,49541658.0,1.791921820622116,2.00000108999174,3270952.6,0.8634438221115893
2025-01-07,5.34,1.33,91782135.0,9.11,51256247.0,5.09,40525888.0,4.02,-60978926.0,-6.05,-30803223.0,-3.06,91782121.0,1.5584558347698072,2.0000003050702873,7504997.0,1.421376141119724
2025-01-08,5.4,1.12,-36577203.0,-2.94,-43324515.0,-3.48,6747312.0,0.54,8693248.0,0.7,27883952.0,2.24,-36577206.0,-2.184467506894808,-1.9999998359633593,-3202613.8,-0.27405548754006304
2025-01-09,5.34,-1.11,-26922043.0,-3.0,-15654394.0,-1.74,-11267649.0,-1.25,1584995.0,0.18,25337039.0,2.82,-26922052.0,-1.5814707214739212,-1.9999993314030446,12807935.4,-0.1465255771411011
2025-01-10,5.33,-0.19,-14000073.0,-1.57,10202321.0,1.14,-24202394.0,-2.71,-7995924.0,-0.9,21995993.0,2.46,-14000077.0,-0.27126650803418645,-1.9999994285744285,12764888.8,0.024154073740451528
2025-01-13,5.23,-1.88,-34115260.0,-3.42,-111443737.0,-11.17,77328477.0,7.75,42791231.0,4.29,-8675977.0,-0.87,-34115266.0,-4.266682165104494,-1.9999996482512552,-3966496.0,-0.24153700180616172
2025-01-14,5.31,1.53,-40802443.0,-4.79,7514545.0,0.88,-48316988.0,-5.67,-1120321.0,-0.13,41922763.0,4.92,-40802444.0,-0.8158309830656023,-1.9999999509832793,-30483409.0,-0.32986445998672614
2025-01-15,5.33,0.38,-37637676.0,-3.51,-54751756.0,-5.1,17114080.0,1.59,3654000.0,0.34,33983674.0,3.17,-37637678.0,-2.454705946525116,-1.999999893723465,-30695503.4,-0.288062710950545
2025-01-16,5.36,0.56,18266959.0,2.59,20825942.0,2.95,-2558983.0,-0.36,2926134.0,0.41,-21193093.0,-3.0,18266959.0,2.140088068298498,1.9999999999998908,-21657701.2,0.4503525797321819
2025-01-17,5.33,-0.56,-43338500.0,-6.27,-49315661.0,-7.14,5977161.0,0.87,14651494.0,2.12,28687005.0,4.15,-43338501.0,-2.1379179912105837,-1.9999999538516111,-27525386.0,-0.36336191864731926
2025-01-20,5.29,-0.75,-38668971.0,-5.43,-69445058.0,-9.74,30776087.0,4.32,33568288.0,4.71,5100684.0,0.72,-38668970.0,-2.7958859261055364,-2.0000000517210053,-28436126.8,-0.3016845109089057
2025-01-21,5.29,0.0,926913.0,0.14,21840680.0,3.33,-20913767.0,-3.19,4320482.0,0.66,-5247395.0,-0.8,926913.0,24.562815496141965,1.9999999999978424,-20090255.4,0.2213169255423183
2025-01-22,5.19,-1.89,-40340355.0,-4.33,-27141072.0,-2.92,-13199283.0,-1.42,-3883727.0,-0.42,44224081.0,4.75,-40340356.0,-1.6728019703147472,-1.999999950421806,-20630791.0,-0.32376097978988666
2025-01-23,5.34,2.89,18254632.0,1.4,81617240.0,6.26,-63362608.0,-4.86,-91057680.0,-6.98,72803059.0,5.58,18254643.0,5.471039450072759,1.9999987948270477,-20633254.2,0.4501899040900872
2025-01-24,5.31,-0.56,20875077.0,2.8,11552377.0,1.55,9322700.0,1.25,-46891340.0,-6.29,26016264.0,3.49,20875078.0,1.553405165719546,1.999999904191879,-7790538.4,0.4848018678926639
2025-01-27,5.45,2.64,58406252.0,4.65,43649900.0,3.47,14756352.0,1.17,2978752.0,0.24,-61384994.0,-4.89,58406262.0,1.7473494879709688,1.9999996575709298,11624508.0,0.9805317684915518
2025-02-05,5.32,-2.39,-17999634.0,-1.56,-56470290.0,-4.89,38470656.0,3.33,14352528.0,1.24,3647104.0,0.32,-17999636.0,-4.13730166543345,-1.9999997777731728,7839198.2,-0.02867402210404374
