序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
4406,301618,长联科技,80.44,-1.45,-7491862.0,-5.1,3320491.0,2.26,-10812353.0,-7.36,2380461.0,1.62,5111402.0,3.48
4407,600535,天士力,15.06,0.33,-7509799.0,-6.06,-1099364.0,-0.89,-6410435.0,-5.17,1640923.0,1.32,5868876.0,4.73
4408,601678,滨化股份,4.1,-0.24,-7518716.0,-2.7,-24662319.0,-8.86,17143603.0,6.16,10743782.0,3.86,-3225064.0,-1.16
4409,000886,海南高速,6.24,0.48,-7534511.0,-8.42,-642925.0,-0.72,-6891586.0,-7.7,-867267.0,-0.97,8401778.0,9.39
4410,300994,久祺股份,13.47,1.13,-7549866.0,-5.2,-4218663.0,-2.9,-3331203.0,-2.29,2746631.0,1.89,4803235.0,3.31
4411,600511,国药股份,29.44,0.68,-7559383.0,-7.19,1675040.0,1.59,-9234423.0,-8.79,-1844363.0,-1.75,9403746.0,8.95
4412,002040,南 京 港,7.25,-2.03,-7582748.0,-1.88,-11197925.0,-2.77,3615177.0,0.89,2794996.0,0.69,4787751.0,1.18
4413,688296,和达科技,11.36,0.35,-7604183.0,-29.89,0.0,0.0,-7604183.0,-29.89,3570888.0,14.03,4033295.0,15.85
4414,603021,山东华鹏,3.79,-9.98,-7604256.0,-27.11,-9075155.0,-32.35,1470899.0,5.24,422964.0,1.51,7181292.0,25.6
4415,300873,海晨股份,20.07,3.35,-7610987.0,-3.4,4471181.0,2.0,-12082168.0,-5.4,-21314217.0,-9.52,28925204.0,12.92
4416,300529,健帆生物,22.14,-1.16,-7664386.0,-5.09,-7137469.0,-4.74,-526917.0,-0.35,9937274.0,6.6,-2272888.0,-1.51
4417,300581,晨曦航空,10.0,1.52,-7676354.0,-4.29,1152236.0,0.64,-8828590.0,-4.94,5445532.0,3.05,2230821.0,1.25
4418,601117,中国化学,7.08,-0.98,-7727404.0,-2.57,-3461795.0,-1.15,-4265609.0,-1.42,14646573.0,4.86,-6919168.0,-2.3
4419,002736,国信证券,10.44,3.47,-7729490.0,-2.22,-3510230.0,-1.01,-4219260.0,-1.21,-5740485.0,-1.65,13469975.0,3.86
4420,002730,电光科技,14.73,2.22,-7735848.0,-5.0,-5057769.0,-3.27,-2678079.0,-1.73,-3714632.0,-2.4,11450480.0,7.4
4421,601869,长飞光纤,31.07,1.9,-7761134.0,-6.79,1877900.0,1.64,-9639034.0,-8.43,-293631.0,-0.26,8054765.0,7.04
4422,688106,金宏气体,17.01,-0.35,-7771520.0,-13.07,-4447311.0,-7.48,-3324209.0,-5.59,7442994.0,12.52,328524.0,0.55
4423,301297,富乐德,37.3,1.55,-7780731.0,-7.73,437378.0,0.43,-8218109.0,-8.16,752658.0,0.75,7028073.0,6.98
4424,300686,智动力,7.61,-0.13,-7783486.0,-17.15,0.0,0.0,-7783486.0,-17.15,6329542.0,13.95,1453944.0,3.2
4425,600354,敦煌种业,6.15,-0.16,-7783717.0,-4.09,-3700090.0,-1.94,-4083627.0,-2.14,25880.0,0.01,7757837.0,4.07
4426,603123,翠微股份,8.32,0.24,-7818816.0,-2.05,7180630.0,1.88,-14999446.0,-3.93,-4873270.0,-1.28,12692085.0,3.33
4427,002655,共达电声,12.28,2.59,-7827330.0,-3.77,-3587361.0,-1.73,-4239969.0,-2.04,-2394590.0,-1.15,10221920.0,4.92
